question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,1,easy
"Of the four atoms depicted here, which has the highest electron affinity?",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c12_Periodic_classification_of-elements_and_periodicity/C12Q32.PNG,easy,"Electron affinity is related to several factors, including atomic size and filling of the valence shell. As atomic radius increases, the distance between the nucleus and the outermost electrons increases, thereby decreasing the attractive forces between protons and electrons. As a result, increased atomic radius will lead to lower electron affinity. Because atoms are in a low-energy state when their outermost valence electron shell is filled, atoms needing only one or two electrons to complete this shell will have high electron affinities. In this example, choices (B) and (D) need only one more electron to have a noble gas-like electron configuration; because choice (B) is smaller, it will have the highest electron affinity",,68,A,B,C,D,,,,,2,,,
Which of the following elements has the highest electronegativity?,,easy,"This question requires knowledge of the trends of electronegativity within the Periodic Table. Electronegativity increases as one moves from left to right for the same reasons that effective nuclear charge increases. Electronegativity decreases as one moves down the Periodic Table because there are more electron shells separating the nucleus from the outermost electrons. In this question, chlorine is the furthest toward the top-right corner of the Periodic Table.",,68,Mg,Cl,Zn,I,,,,,2,,,
How many valence electrons are present in elements in the third period?,,moderate,"While groups or families refer to the columns. Within the same period, an additional valence electron is added with each step toward the right side of the table.",,68,2,3,The number decreases as the atomic number increases,The number increases as the atomic number increases,,,,,4,,,
"When dissolved in water, which of the following ions is most likely to form a complex ion with H2O?",,moderate,"Iron is a transition metal. Transition metals can often form more than one ion. Iron, for example, can be $Fe^{2+}$ or $Fe^{3+}$. The transition metals, in these various oxidation states, can often form hydration complexes with water. Part of the significance of these complexes is that, when a transition metal can form a complex, its solubility within the related solvent will increase. The other ions given might dissolve readily in water, but because none of them are transition metals, they will not likely form complexes.",,68,$Na^+$,$Fe^{2+}$,$Cl^-$,$S^{2-}$,,,,,2,,,
Group I-A and II-A are s-block elements because:,,moderate,The outermost subshell in which the electrons are residing is s shell in all of the members of Group I-A and II-A which makes them the s block elements,,69,They form an s shape in the periodic table,They both have valence electrons in s shell,They both form nonmetal oxides,They both form weakest bases,,,,,2,,,
Group II-A elements are named as “alkaline earth “because:,,moderate,s block elements are basic oxides which are widely distributed in earth such as Ca and Mg,,69,They react with alkalis and are widely found in earth,Their properties are similar to the elements found in earth,They produce alkalis in water and are widely distributed in earth’s crust,They are made up of ‘ashes’ in earth’s crust,,,,,3,,,
Comment on the electropositive nature of I-A elements:,,moderate,Electropositive is an element tending to lose electrons and form positive ions in chemical reactions. Lithium is far less electropositive than sodium because the nuclear charge is only screened by a shell of two electrons,,69,Li>Na,The electropositivities of all the elements stays same,Li<Na,The electropositive effect is canceled out due to +1 oxidation state,,,,,3,,,
Second ionization potential of alkali metals are very high due to:,,moderate,"Only one electron is present in the outermost shell, once it is removed the nuclear pull on the ion increases which makes the second ionization energy very high ",,69,$ns^1$ electronic configuration,Being metals,Having noble gas configurations,Being s block elements,,,,,1,,,
Which one of the following is not a mineral of Magnesium?,,easy,Calcite is a mineral of Calcium with the chemical formula $CaCO_3$,,69,Dolomite,Epsom salt,Asbestos,Calcite,,,,,4,,,
Which two elements of s block shows peculiar behavior:,,easy,The first elements of group I-A and II-A (Lithium and Beryllium) shows peculiar properties than the rest of the group,,69,Boron and Sodium,Lithium and Calcium,Beryllium and Lithium,Strontium and Potassium,,,,,3,,,
"Lithium differs from the rest of the elements of group I-A because:
High electronegativity of Li+",,difficult,Lithium is more electronegative / less electropositive because it has a smaller radius and high charge density which makes it difficult to lose electrons than the rest of the elements of group I-A. Lithium has the smallest radius compared to rest of the elements of group I-A being the first element of the group (radius increases down the group).,,69,High electronegativity of $Li^+$,Small charge density,Large Radius,All of these,,,,,1,,,
Which statement about the properties of Lithium when compared to the rest of group I-A is false:,,difficult,"Lithium has low electropositive character, thus its carbonate and nitrates are not so stable and decompose to form lithium oxide and carbon dioxide. The carbonates of the rest of the elements of group I-A are stable",,69,Lithium form stable complex compounds although complex formation is not generally a property of alkali metals,Lithium compounds are more covalent than the rest of the elements of group I-A,Lithium salts of large polarizable anions are less stable than those of other alkali metals,Carbonates of Lithium and other elements of group I-A decompose to form Lithium oxide and carbon dioxide,,,,,4,,,
What makes beryllium different from the rest of the elements of group II-A:,,difficult,Beryllium has high electronegativity compared to the rest of the elements due to its smaller atomic size. It has the same oxidation state as the rest of the elements and forms an oxide coating (BeO) when reacts with water,,69,Small electronegativity,Oxidation state,Its ability to react with alkalis and liberate hydrogen as a by product,Its ability to form an oxide coating when reacted with hydrogen which makes it resistant,,,,,3,,,
Which one of the following is an alkali metal?,,easy,Only Francium lies in the first group of periodic table making it an alkali metal,,69,Francium,Calcium,Aluminium,Radium,,,,,1,,,
Which one of the following from group I-A forms a peroxide:,,easy,"Only Sodium forms peroxide in supply of excess oxygen, Lithium and Beryllium forms normal oxides and Potassium forms superoxide",,69,Lithium,Sodium,Potassium,Beryllium,,,,,2,,,
Which element of group I-A burns with a brilliant yellow flame in a chlorine atmosphere:,,easy,Only sodium burns with yellow flame,,69,Potassium,Lithium,Rubidium,Sodium,,,,,4,,,
What is the nature of alkali metal oxide reaction with water?,,difficult,Metal oxides are basic oxides which react with water to metal hydro oxides. This is not an oxidation reduction reaction because no element has a change in oxidation state at the end of the reaction,,69,Oxidation-Reduction,Acid-base,Substitution Reaction,Decomposition,,,,,2,,,
Which of the following statements on basicity of metal oxides is correct?,,moderate,"Basicity increases down the group and (I-A>II-A) because atoms down the group are more
reactive due to being more electropositive, hence the probability of forming ions is more.",,69,Decreases down the group,"Increases down the group, group I-A> II-A","Decreases down the group, group I-A> II-A",Basicity stays the same,,,,,2,,,
Comment on the solubility of metal oxides:,,moderate,"Elements down the group have more tendencies to lose electrons, hence solubility increases.",,69,Stays the same,Increases down the group,Decreases down the group,Solubility concept is not applicable on metal oxides,,,,,2,,,
Choose the wrong statement:,,difficult,Milk of Magnesia is used against acidity of stomach.,,69,$\mathrm{KO}_{2}$ absorbs $\mathrm{CO}_{2}$ and liberate $\mathrm{O}_{2}$ used in breathing equipment,Milk of Magnesia is used in X-ray imaging,lime water is used to absorb $\mathrm{CO}_{2}$,NaOH can be prepared from Brine,,,,,2,,,
Magnesium metal does not burn in the vessel containing:,,moderate,Ne is an inert gas which does not react with magnesium.,,69,$N_2$,$O_2$,$N_2$ and $O_2$,Ne,,,,,4,,,
Which of the following is insoluble in water?,,difficult,"Alkaline Earth Metals are insoluble in water, all alkali metal carbonates except Lithium is insoluble in water.",,69,$MgCO_3$,$K_2CO_3$,$Na_2CO_3$,$Fr_2CO_3$,,,,,1,,,
Which statement about the solubility of sulphates is correct?,,difficult, Solubility of alkaline earth metals decreases down the group as shown in option B only,,69,Alkali metal oxide sulphates are insoluble in water,Be > Sr > Ra,Solubility of Alkaline Earth Metals increases down the group,None of these,,,,,2,,,
Which one of the following is an amphoteric oxide?,,easy,"An amphoteric oxide is an oxide that can act as either an acid or base in a reaction to produce a salt and water. Amphoterism depends on the oxidation states available to a chemical species. Because metals have multiple oxidation states, they form amphoteric oxides and hydroxides. All the option shown are typical examples of amphoteric oxides.",,69,ZnO,PbO,$Al_20_3$,All of these,,,,,2,,,
Down’s Cell is used to extract:,,easy," Electrolysis of Sodium Chloride is carried out in Down's Cell to extract molten Sodium at
$600^{\circ} \mathrm{C}$",,69,Sodium Carbonate,Sodium Sulphate,Hydrogen Carbonate,Molten Sodium,,,,,4,,,
An advantage of Down’s Cell:,,moderate," The products of the electrolysis (Molten Sodium and Chlorine gas) do not react with the electrodes (Iron and Graphite), so the efficiency of the cell is maintained",,69,The metallic fog is produced,Material of the cell is not attacked by the products formed during electrolysis,Liquid sodium can easily be collected at $50\circ$ C,NaOH is prepared from brine,,,,,2,,,
In Down’s Cell how is the production of Sodium is maintained?,,difficult,"For efficient extraction of molten Sodium, $\mathrm{CaCl}_{2}$, is added which acts as a catalyst and
reduces the temperature of reaction (decomposition of $\mathrm{NaCl}$ ) from 801 to $600^{\circ} \mathrm{C}$",,69,By increasing the temperature to $1500\circ$C so gaseous Sodium can be collected,By reducing Sodium Chloride to obtain molten Sodium,By decreasing the temperature of Molten Sodium from $801\circ$C to $600\circ$C using $CaCl_2$,By placing graphite cathode so molten Sodium can be collected easily,,,,,4,,,
Brine is composed of:,,moderate,"Brine is made up of $30\%$ NaCl, $70\%$ water. It is used to extract NaOH.",,69,$11\%$ NaOH and $16\%$ NaCl,$30\%$ aqueous solution of NaCl,$50\%$ NaOH and $1\%$ NaCl,$89\%$ NaOH in molten sodium,,,,,2,,,
What is the purpose of asbestos in commercial production of Sodium Hydroxide?,,difficult,"$\mathrm{Cl}_{2}$ must not react with hydrogen, which may result in formation of an unwanted substance
(such as $\mathrm{HCL}$ ) in this case. To maintain efficiency of the cell, cathode is lined with asbestos.",,69,To keep perforation of cathode clear,To ensure proper mixing of Chlorine and Hydrogen,It acts as a catalyst; to increase the rate of production of NaOH,To prevent $Cl_2$ and OH- from reacting,,,,,4,,,
Comment on the presence of impurity in NaOH at the end of extraction process:,,difficult,"Once the crystallization is done, the solution produced contains $11\%$ NaOH and $16\%$ NaCl. After evaporation, NaOH crystallizes and contains $50\%$ NaOH and $1\%$ NaCl as impurity",,69,$100\%$ pure NaOH is produced,NaOH contains $1\%$ NaCl after crystallization,NaOH contains $16\%$ NaCl after crystallization,NaOH cannot be manufactured since chlorine is more reactive,,,,,2,,,
The general name of $\mathrm{CaSO}_{4} \cdot 2 \mathrm{H}_{2} \mathrm{O}$ is:,,easy,Fact. Gypsum is applied to soil provide Calcium and Sulphur needed by plants for growth,,69,Gypsum,Fluorite,Carnallite,Chrysoberyl,,,,,1,,,
Sodium is not observed in +2 oxidation state because of its:,,easy,As one electron is removed from the outermost shell of sodium and nucleus pull on the electrons increases hence the second ionization potential of sodium is very high compared to the first one.,,69,High first ionization potential,high second ionization potential,High ionic radius,high electronegativity,,,,,2,,,
Magnesium metal does not burn in the vessel containing:,,easy," As Neon is a noble gas and hence inert, magnesium metal does not react with it.",,69,$N_2$,$O_2$,$N_2$ and $O_2$,Ne,,,,,4,,,
Which ion will have maximum value of heat of hydration?,,difficult," Heat of hydration or enthalpy of hydration of ions corresponds to the heat that is released by hydration of one mole of ions at a constant pressure. The more the ion is hydrated, the more heat is released. Degree of hydration depends on the size and charge of ion",,69,$Al^{3+}$,$Cs^+$,$Ba^+$,$Mg^{2+}$,,,,,1,,,
Which of the following sulphates is not soluble in water?,,easy,Sulfates of barium are insoluble in water and thus form as suspension,,69,Sodium sulfate,potassium sulfate,zinc sulfate,barium sulfate,,,,,4,,,
The deliquescence is a property in which a solid:,,easy,As stated above,,69,Absorbs moisture and remains solid,absorbs moisture and turns to liquid form,Loses water of crystallization,increases the number of waters of crystallization,,,,,2,,,
Alkali and alkaline earth metals impart colors when heated over burner. It is due to:,,difficult,As alkali and alkaline earth metals release energy and shift to lower energy level they produce photons or electromagnetic radiation in form of different colors.,,69,Smaller electronegativity of alkali metals,smaller ionic radius of these metals,De excitation of electrons from higher energy levels to lower energy level,excitation of electrons from low energy levels to higher energy levels,,,,,3,,,
Which one of the following pairs shown diagonal relationship in the periodic table?,,moderate,lithium shows similarities to magnesium and beryllium to aluminium in many of their properties. This type of diagonal similarity is commonly referred to as diagonal relationship in the periodic table. The diagonal relationship is due to the similarity in ionic sizes and /or charge/radius ratio of the elements.,,69,Sodium and lithium,Lithium and Magnesium,Lithium and Beryllium,Boron and Beryllium,,,,,2,,,
NaOH is named as caustic soda because:,,moderate,Caustic soda is derived from its chemical identity as a sodium hydrate because it is caustic or corrosive.,,69,It corrodes the organic tissues,it is used in soda water,it reacts with chlorine gas,it reacts with fats to form soap,,,,,1,,,
How many elements are there in Group III-A?,,easy,"Group III-A of the periodic table consists of five elements as Boron, Aluminium, Gallium, Indium, Thallium",,70,Five,four,Seven,Six,,,,,1,,,
What is the change in metallic character of the elements of group III-A?,,moderate,The metallic character increases down the group as the atomic radius of the elements increases and atoms tend to lose electrons more easily,,70,It decreases down the group,It stays the same,It increases down the group,Elements of this group are nonmetallic,,,,,3,,,
Choose the wrong statement about Group III-A elements from the following:,,difficult,"All elements are metals except Boron, (the first element of group III-A)",,70,Elements show +3 oxidation state,Gives Halides $MX_3$,Al is present as Aluminosilicates,All the elements are metallic in nature,,,,,4,,,
One of the outstanding features of Boron (from other elements of group III-A) is the ability to form,,moderate,"Boron halides, being electron-deficient compounds, act as Lewis acids and accept a pair of electrons
from amines to form addition compounds, e.g. $[\mathrm{F} 3 \mathrm{B} \leftarrow: \mathrm{NH} 3]$",,70,Molecular addition of compounds,Semiconductors,Molecular crystals,Ionic compounds,,,,,1,,,
"Borax, a compound of Boron, is present as a natural deposit called:",,moderate,Borax is present as a deposit called Tincal present in the lakes of Tibet and California,,70,Limestone,Tincal,Colemanite,Orthoboric acid,,,,,2,,,
Borax can be prepared through:,,moderate,One of the old methods of preparation of borax is mixing hot solution of boric acid with soda ash.,,70,Haber process,Boric acid and soda ash,Vitreous Silica,Reacting with hydrogen carbonate and water,,,,,2,,,
How Borax is different from its element (Boron)?,,difficult,Borax forms an alkaline solution while Boron is non metal (acidic in nature).,,70,It forms an acidic solution,It forms an alkaline solution,It has a different oxidation state +2,It is a natural compound,,,,,2,,,
Which form of Boric acid is stable in all forms?,,easy,"Orthoboric is stable, while others are stable only in solid form and convert to Orthoboric in aqueous solution form.",,70,Meta boric acid,Pyroboric acid,Tetra boric acid,Orthoboric acid,,,,,4,,,
Pick out the right property of Boric acid:,,difficult,Boric acid shows the properties of typical acid (except no reaction when titrated with alkalis; partially neutralized with NaOH though).,,70,It forms a salt when reacts with alcohol,It forms an alkaline solution,It turns blue to red,It never produces Borax ($Na_2B_4O_7$) if reacted with NaOH,,,,,1,,,
The process of Aluminium extraction is called:,,easy,"Hall process is the major industrial process for smelting Aluminium. It involves dissolving Aluminium oxide (alumina) (obtained most often from bauxite, Aluminium's chief ore, through the Bayer process) in molten cryolite, and electrolyzing the molten salt bath, typically in a purpose-built cell.",,70,Haber process,Hall process,Contact process,Thermite process,,,,,3,,,
Which is not a natural mineral of Aluminium?,,difficult,"Dolomite is an ore of Carbon, not Aluminium.",,70,Bauxite,Cryolite,Corundum,Dolomite,,,,,4,,,
Which of the following reactions of Aluminium is listed incorrectly?,,difficult,Aluminium is amphoteric in nature and reacts with both acids and alkalis to form salt and water.,,70,Reaction with $N_2$ is used to remove air bubbles in molten metals,Reaction with a halogen is an exothermic process,Reaction with acids forms no product,Reacts with NaOH to form soluble sodium aluminate and liberates water as a by product,,,,,3,,,
Which property of Aluminium makes it suitable for construction of air craft’s parts?,,moderate,"Aluminum (blended with small quantities of other metals) is used on most types of aircraft because it is lightweight and strong. Aluminum alloys don't corrode as readily as steel. It has also been used for the skin of some high-speed airplanes, because it holds its strength at higher temperatures better than aluminum.",,70,Low Density (light weight),Conductivity,Reflection power,Being a good reducing agent,,,,,1,,,
Which one of the following is not an element of Group IV-A?,,easy,Francium is a chemical element with the symbol Fr and atomic number 87. It is an element of group I-A.,,70,Ge,Sn,Pb,Fr,,,,,4,,,
Comment which property of group IV-A is incorrect:,,moderate,"Pb, an element of group four either shows a valency of four or two due to inert pair effect.",,70,"All of them form hydrides, $MH_4$","They all form tetrachloride, $MCl_4$",They all show a valency of 4 always,"They form dioxides, $MO_2$",,,,,4,,,
$MgCO_3.CaCO_3$ is the chemical formula of:,,easy,Dolomite has the chemical formula mentioned above. It contains magnesium and calcium along with carbon.,,70,Emerald,Bauxite,Dolomite,Colemanite,,,,,3,,,
Choose the correct family of elements of group IV-A:,http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c14_Group_IIIA_and_IVA/c14e1y7.PNG,moderate,Only D option shows the elements placed in the correct category.,,70,A,B,C,D,,,,,4,,,
Which element of group IV-A can form both homocyclic and hetrocyclic compounds?,,moderate,The main difference between homocyclic and heterocyclic compounds is that homocyclic compounds contain rings made of atoms of the same element whereas heterocyclic compounds contain rings made of atoms of different elements. One of the unique properties of carbon is being a basic element of organic compounds which are homocyclic as well. Only carbon forms both homo and hetrocyclic compounds.,,70,Ge,Sn,Pb,C,,,,,4,,,
How CO is different from $CO_2$?,,easy,"pi bond is formed when there is a second bond. As both CO and $CO_2$ have double bonds between them, they both have sigma and pi bonds (where sigma is the first bond). Linear molecule is a molecule in which atoms are deployed in a straight line (under $180^\circ$ angle). Both molecules have a linear shape. The type of electrons present in both molecules are same (C and O). The Dipole moment of $CO_2$ is zero while the dipole moment of CO is 0.112 D. So, option C is correct.",,70,Types of bonds present (O and $\Pi)$,Linear behavior of molecules,Dipole moment,Number of different elements present in the molecule,,,,,3,,,
Which silicon material is used in commercial preparation of NaOH?,,moderate,Cathode is lined with asbestos which stops $Cl_2$ reacting with $OH^-$,,70,Zircon,Asbestos,Talc,Kaolin,,,,,2,,,
What is the ratio of Si to Oxygen in Silicon Dioxide?,,moderate," Si and O reacts in 1:2 proportions with every Si atom attached with four O atoms and each oxygen atom attached with two silicon atoms.
S = Black
O = Red",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c14_Group_IIIA_and_IVA/c14e21.PNG,70,2:1,1:2,1:4,4:1,,,,,2,,,
"The structure of quartz, mica, and asbestos have the common basic unit of:",,difficult,All three of them have common B option in their chemical formula,,70,${SiO_4}^{-4}$,${SiO_3}^{-2}$,${SiO_4}^{-2}$,$SiO_2$,,,,,1,,,
The geometry of molecules of silica is:,,moderate,Each silicon atom is attached with four other atoms.,,70,Trigonal,Cubic,Linear,Tetrahedral,,,,,4,,,
Which of the comparison is incorrect?,http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c14_Group_IIIA_and_IVA/c14q24.PNG,difficult,Single covalent bonds are present in $SiO_2$ (each Si atom being attached to 4 other atoms).,,70,A,B,C,D,,,,,1,,,
Which compound is also called water glass or soluble glass?,,moderate,Sodium silicate is also called water glass.,,70,Aluminium Silicate,Sodium Silicate,Quartz,Silica glass,,,,,2,,,
Weathering effect disintegrates silicate rocks into:,,easy,"Kaolin is a clay mineral, part of the group of industrial minerals with the chemical composition $\mathrm{Al}_{2} \mathrm{Si}_{2} \mathrm{O}_{5}(\mathrm{OH})_{4}$",,70,Sodium Silicate,Soap stone,Clay,Asbestos,,,,,3,,,
Silicates are derived from:,,easy,The compounds derived from silicic acid are termed as silicates.,,70,Silicones,Semiconductors,Vitreous silica,Silicic acid,,,,,4,,,
Which element has a similar chemistry to carbon?,,moderate,Silicon being in the same group as Carbon shows chemical properties of carbon (number of outermost shells are same of both elements). Forms similar compounds such as $SiO_2$ and $SiCl_4$.,,70,Nitrogen,Oxygen,Silicon,Hydrogen,,,,,3,,,
A substance whose resistance to electric current is different under different conditions is called:,,moderate,"Semiconductor is a solid substance that has a conductivity between that of an insulator and that of most metals, either due to the addition of an impurity or because of temperature effects. Devices made of semiconductors, notably silicon, are essential components of most electronic circuits.",,70,Semiconductor,Graphite,Diamond,Phosphorus,,,,,1,,,
Comment on the resistance of Metals and Semiconductors on increasing temperature:,,difficult,Resistance decreases in semiconductors because with increasing temperature more electrons move from valence band to conduction band while in metals the vibrations of atoms increases so they obstruct the electron path and hence conductivity decreases.,,70,Temperature has no effect,Decreases in both,Decreases in metals and increases in semiconductors,Increases in metals and decreases in semiconductors,,,,,4,,,
Elements of which group generally form Semiconductors?,,moderate,Group 4 elements such as Si and Ge are widely used as semiconductors.,,70,III -A,IV-A,V-A,II-A,,,,,2,,,
"Transistors, solar battery cells, and photoelectric cells are some uses of:",,moderate,Semiconductors are widely used in batteries etc. to due to their ability to pass electricity more properly.,,70,Semiconductor,Borax,Boric acid,Limestone,,,,,1,,,
Silicones differ from silica by a group of:,,difficult,"More precisely called polymerized siloxanes or polysiloxanes, silicones consist of an inorganic silicon-oxygen backbone chain $(\cdots-\mathrm{Si}-\mathrm{O}-\mathrm{Si}-\mathrm{O}-\mathrm{Si}-\mathrm{O}-\cdots)$ with two organic groups attached to each silicon center. Silica exists as a polymeric solid, in which each Silicon atom is bonded to 4 oxygen atoms and each oxygen atom is bonded to 2 silicon atoms. They are different by a methyl group.",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c14_Group_IIIA_and_IVA/c14e34.PNG,70,$\mathrm{CH}_{3}-$,$\mathrm{OH}-$,$\mathrm{O}_{2}$,$\mathrm{H}_{3} \mathrm{CO}-$,,,,,1,,,
Which one of the following is not a use of compounds of Lead oxide?,,moderate,"Aluminium silicate is used to make bricks, pottery, and stoneware",,70,In preparation if storage batteries,Preparation of flint glass and paints,As pigment,"Tiles, bricks, and stoneware",,,,,4,,,
In what form Lead oxide ($PbO_2$) exists?,,moderate,"$PbO_2$ form is usually red or orange color, while the orthorhombic is usually yellow or orange",,70,Black powder,Reddish brown powder,White solid,Rhombic (yellow in color),,,,,2,,,
The atomic number of group V-A elements ranges (highest and lowest atomic number):,,moderate,The atomic number of group V-A elements ranges from N to Bi (atomic number 7 and 83 respectively),,71,15 – 103,7 – 51,7 – 83,15 - 83,,,,,3,,,
Comment on the physical appearance of the first element (N) of Group V-A:,,easy,Nitrogen exists as a colorless gas in air (Air is colorless).,,71,Metallic solid,Black liquid,Metallic liquid,Colorless gas,,,,,4,,,
Which one of the following elements of group V-A has the highest melting point?,,difficult,"In case of Melting Point which is the factor depending upon Energy. For melting down, one need to break the Vander wall forces between molecules which requires energy. The higher the energy provided; the easier will be the breaking of Vander wall forces. Now, nitrogen exists in the form of N2 consisting 2 molecules while Phosphorous exists as P4 consisting 4 molecules and so on. That is why the energy required to break the Vander wall force increases with increase in number of molecules. It continues till Arsenic but due to increase in metallic nature of elements going down further, the bonding of electrons become loose and hence causing the week interaction in between. In this way, the Melting Point increases up to Arsenic and then decreases till Bismuth.",,71,N,As,Bi,P,,,,,2,,,
Which of the following is different with respect to physical appearance?,,easy,Fact,,71,Arsenic,Phosphorus,Antimony,Bismuth,,,,,2,,,
Which one of the followings possesses melting point below $0^\circ$C?,,easy,Nitrogen has a very low melting point of $-210^\circ$ C.,,71,Nitrogen,Phosphorus,Carbon,Bismuth,,,,,1,,,
Compounds of nitrogen and phosphorus are mostly,,easy,"Nitrogen and phosphorus are nonmetals, forming covalent compounds mostly.",,71,Ionic,Covalent,Polar,All varieties are possible,,,,,2,,,
The most electronegative element among the following is,,easy,"As we move the along the period, the electronegativity of elements increases. (The capacity to gain electrons). Nitrogen being the farthest right on the periodic table has the highest electronegativity.",,71,Sb,N,As,P,,,,,2,,,
Arsenic oxides are removed by passing through,,easy,Fact. Iron Oxidation and Manganese Dioxide filtration removes iron from the system similarly to water softeners. In the process the system also may remove both Arsenic 5 and Arsenic 3 with varying levels of effectiveness through the process of oxidation. Chlorination treatment works through oxidation.,,71,Ferric hydroxide,Sodium hydroxide,Calcium hydroxide,Aluminium hydroxide,,,,,1,,,
In which compound nitrogen has maximum oxidation state,,moderate,"Oxidation state can be calculated by:
Adding up all the charges together 
Equating it to the overall charge on the compound
Here, in $HNO_3$, H has a +1 charge, where O is -2. Since we have 3 atoms of oxygen the overall charge will be (-2) (3) = -6. 
Oxidation number of nitrogen:
X + (-6) = +6
The rest can be checked in the same way, leading to option D having the highest oxidation number of Nitrogen
",,71,$N_2O$,$NO_2$,$HNO_2$,$HNO_3$,,,,,4,,,
Which pair of the following pair is metalloid?,,easy,"A metalloid is an element that has properties that are intermediate between those of metals and nonmetals. Metalloids can also be called semimetals. On the periodic table, the elements colored yellow, which generally border the stair-step line, are metalloids.",,71,Antimony and bismuth,Phosphorous and arsenic,Nitrogen and phosphorous,Arsenic and antimony,,,,,4,,,
Which one of the following elements occur free in nature?,,easy,"By volume, dry air contains $78.09\%$ nitrogen",,71,Antimony,Arsenic,Nitrogen,Phosphorous,,,,,3,,,
Anomalous behavior of nitrogen is due to,,moderate,"Nitrogen differ from of the members of this group due to its small size, high electronegativity, high ionization enthalpy and non-availability of d orbitals. $p\pi -p\pi$ multiple bonds with itself and with other elements having small size and high electronegativity (e.g., C, O).",,71,Ease of formation triple bond,Its small size and high electronegativity,Non-availability of d-orbitals,All of these,,,,,4,,,
The composition of brown ring in nitrate test is,,easy,Only NO gives a brown ring in nitrate test.,,71,$FeSO_4.NO$,$FeSO_4.NO_2$,$FeSO_4.NO_3$,$FeSO_4.N_2O$,,,,,1,,,
$\mathrm{SO}_{3}$ is not absorbed in water directly because,,easy,The reaction is highly exothermic (very spontaneous) and is dangerous. So it is not reacted with water directly.,,71,Reaction highly exothermic,It is insoluble in water,Dilute acid is produced,All above,,,,,1,,,
$\mathrm{FeSO}_{4}$ forms brown ring with:,,easy,Fact,,71,$N_2O_3$,$NO_2$,NO,$N_2O$,,,,,3,,,
One of the following acts both as an oxidizing and reducing agent which is that:,,moderate,Fact. $HNO_2$ can give or take electrons depending on the substance they are reacting with. The rest of the options are reducing agents only. (hydrogen is removed when dissolved in water).,,71,$\mathrm{H}_{2} \mathrm{SO}_{4}$,$\mathrm{HNO}_{3}$,HCl,$\mathrm{HNO}_{2}$,,,,,4,,,
Which gas is given by mercury and copper on reaction with conc. $HNO_3$?,,moderate,Fact,,71,Fr,Al,Cr,All of these,,,,,3,,,
Nitric acid reacts with _______ to produce explosives,,moderate,Fact,,71,Glycerin,Toluene,Phenol,All of these,,,,,4,,,
From the following set of elements do not react with $HNO_3$,,easy,"Gold and Pt are very low in the reactivity series. (least reactive elements) so, they do not react with nitric acid.",,71,Gold and platinum,Magnesium and gold,Calcium and platinum,Sodium and iridium,,,,,1,,,
Which of the following can be prepared from $HNO_3$?,,moderate,All the compounds formed have nitrogen in it formed by nitric acid. (fact),,71,Trinitrotoluene,Some fertilizers,Picric acid,All of these,,,,,4,,,
Which metal is rendered passive by $HNO_3$?,,moderate,"Metals like iron, aluminium, cobalt and nickel become inert or you can say passive when treated with pure concentrated nitric acid due to the formation of an extremely thin layer of insoluble metallic oxide on the surface.",,71,Pt,Sn,Co,Mn,,,,,3,,,
Phosphorus is a Greek word and it means,,easy,Fact,,71,Light bearing,Fire,Impure,Tetrahedral,,,,,1,,,
Which of the following does not contain phosphorus?,,easy,Fact,,71,Yolk of egg,Bone marrows,Nerves,All of these,,,,,4,,,
Allotropic form of phosphorus that is poisonous is,,easy,Fact,,71,White,Red,Black,Violet,,,,,1,,,
Phosphorous acid upon thermal decomposition yields phosphoric acid and,,easy,"The thermal decomposition of phosphorous acid to produce phosphine and phosphoric acid. This
reaction takes place at a temperature of $205-210^{\circ} \mathrm{C}$
$\[
4 \mathrm{H}_{3} \mathrm{PO}_{3} \stackrel{\mathrm{t}^{\circ} \mathrm{C}}{\longrightarrow} \mathrm{PH}_{3}+3 \mathrm{H}_{3} \mathrm{PO}_{4}
\]$",,71,Phosphine,Phosphorus,Water,Phosphorus pentoxide,,,,,1,,,
Which allotropic form of phosphorous is the most stable,,easy,"Supplementary info: Allotropes are different structural forms of the same element and can exhibit quite different physical properties and chemical behaviors. The change between allotropic forms is triggered by the same forces that affect other structures, i.e., pressure, light, and temperature.",,71,White,Red,Black,Violet,,,,,3,,,
When red phosphorus is heated with $HNO_3$ it forms:,,moderate,"Red phosphorus react with nitric acid to produce phosphoric acid, nitrogen dioxide and water. Nitric acid
concentrated solution. The reaction takes place in a boiling solution.
\[
\mathrm{P}+5 \mathrm{HNO}_{3} \stackrel{\mathrm{t}^{\circ} \mathrm{C}}{\longrightarrow} \mathrm{H}_{3} \mathrm{PO}_{4}+5 \mathrm{NO}_{2}+\mathrm{H}_{2} \mathrm{O}
\]",,71,$H_3PO_4$,$HPO_3$,$H_2PO_3$,$PHO_2$,,,,,1,,,
