question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice,,,,,,,,,,,,,,,
Which pairs of the following components can be separated by sublimation?,,difficult,"Sublimation is the transition of a substance directly from the solid to the gas state, without passing through the liquid state. One of the substances should be thermally stable and one of them should be thermally unstable. Option A shows the correct value. In option B both compounds are thermally stable. Same goes for option C and D.",,48,sand and naphthalene,sand and NaCl,sand and broken pieces of glass,NaCl and KCL,1,,,,,,,,,,,,,,,
Sublimation method is a particularly useful technique for separation when the product to be separated is:,,moderate,If the product to be collected is volatile or thermally unstable then once it forms a vapor it can be cooled down and collected efficiently. Hence one product must be thermally unstable / volatile the other should not be volatile.,,48,nonvolatile or thermally unstable,volatile or thermally stable,nonvolatile of thermally stable,volatile or thermally unstable,4,,,,,,,,,,,,,,,
A filtration process could be very time consuming if it were not added by gentle suction which is developed:,,difficult,"Filtration is the process of separating suspended solid matter from a liquid, by causing the latter to pass through the pores of some substance, called a filter. The liquid which has passed through the filter is called the filtrate. The paper should fit tightly so the filtrate can easily pass through it.",,48,if the paper covers the final up to its circumference,if the paper fits tightly,if the paper has got small sized pores in it,if the stem of the final is large so that it dips into the filtrate,2,,,,,,,,,,,,,,,
Cold finger tube is used in:,,difficult,A cold finger is a piece of laboratory equipment that is used to generate a localized cold surface. Cold finger used in sublimation. Volatile compound sticks on the cold surface so it can be collected.,,48,sublimation,distillation,filtration,none of these,1,,,,,,,,,,,,,,,
Which of the following method is used to measure the concentration of hydrogen ions in a solution?,,difficult,"The quantitative analysis of the concentration of hydrogen ions in a solution can be done by volumetric analysis. For example, a volumetric analysis of an acid which contains hydrogen ions with an alkali. Option B is used to provide current whereas pH meter detects the Ph of the solution.",,48,volumetric titration,by EMP galvanic cell,pH meter,all the above,1,,,,,,,,,,,,,,,
The solvent selected for crystallization of a substance is based on:,,easy, During crystallization choice of solvent is selected by hidden trial method. Suitable solvent dissolves excess of solute at high temperature and less amount of solute at low temperature. ,,48,its reacting nature,its nonpolar nature,it should react chemically,on hit and trial basis,4,,,,,,,,,,,,,,,
Which of the following is not an adsorption chromatographic technique:,,easy,"Paper chromatography is an analytical method used to separate colored chemicals. It works as absorption chromatography where the more soluble a molecule is, the higher it will migrate up the paper. If a chemical is very non-polar it will not dissolve at all in a very polar solvent. The rest of the of the options work on adsorption technique.",,48,thin layer chromatography,paper chromatography,column chromatography,gas chromatography,2,,,,,,,,,,,,,,,
"In $CCl_4$ , $I_2$ shows:",,easy,Color of $I_2$ is purple naturally. (fact),,48,red color,blue color,purple color,yellow color,3,,,,,,,,,,,,,,,
"If $x, y \in R,$ then $x+y$ is a Real Number, this law is called",,easy,Definition of closure property of set.,,84,Closure law,commutative law,Associative law,Distributive law,1,,,,,,,,,,,,,,,
"If $a \in Q$, there exist a multiplicative inverse for a, which is",,easy,"the product of number and its multiplicative inverse is $1,$ so $a * \frac{1}{a}=1$",,84,0,$a$,$1/a$,$-a$,3,,,,,,,,,,,,,,,
Which of the following is field?,,moderate,"The set which satisfy all 11 laws of real number, is called field. Only set of rational number Q, Real numbers R, and complex numbers C, are field.",,84,Q,N,W,Q',1,,,,,,,,,,,,,,,
"Which of the following is not an order axiom,",,moderate,The set which follow properties of inequalities are order axioms. Every set follow inequalities except for complex numbers.,,84,Q,C,R,Z,2,,,,,,,,,,,,,,,
"Let $a, b, c, d \in R$ then $a=b$ and $c=d \Rightarrow$",,easy,"Apply the additive property of real number on a=b, since c=d, their addition and subtraction will not change the output.",,84,$a+b=c+d$,$a-b=c+d$,$a-c=b-d$,$a-c=b+d$,3,,,,,,,,,,,,,,,
"The solution of $x+p=q,$ where $p>q$ exist in the set of",,moderate,"the solution is $x=q-p,$ so if $p>q$ then the result will be negative number Let say $p=5, p>q, \quad q=4$ then $x=q-p=4-5=-1$ it is a negative number that belongs to set of integers $Z=\{0,\pm 1,\pm 2, \ldots \ldots\}$",,84,$N$,$\mathrm{W}$,$Z$,All of These,2,,,,,,,,,,,,,,,
"$x+\sqrt{a}=2$ will have a solution in $N$ for,",,moderate," for $a=1$ the value of $x$ will be 1 , anything else will generate $\mathrm{W}, \mathrm{Z}$ or $Q$.
(b) $\quad x+\sqrt{2}=x+2=2 \rightarrow x=2-2=0$
0 belongs to set $\mathrm{W}$
(c) $\quad x+\sqrt{1}=x+1=2 \quad \rightarrow \quad x=2-1=1$
1 belongs to set $\mathrm{N}$ For any other perfect square, x will be negative",,84,$a$ is perfect square,$a=\{1\}$,"$a=\{1,4\}$",does not exist,3,,,,,,,,,,,,,,,
The set of rational numbers between two real numbers is __________,,easy,"Basic Point, there are infinite many rational numbers between 2 real numbers",,84,Finite,Empty,Infinire,Singleton,3,,,,,,,,,,,,,,,
Additive identity on N is __________,,easy,"The set of natural number starts from 1,2,3,…, whereas 0 is additive identity.",,84,0,1,No identity,none of these,3,,,,,,,,,,,,,,,
Additive inverse of $2+\sqrt{3}$ is __________,,easy," The sum of number and its inverse is identity (0).
(a) $2+\sqrt{3}+2-\sqrt{3}=4$
(b) $2+\sqrt{3}-2-\sqrt{3}=0$",,84,$2-\sqrt{3}$,$-2-\sqrt{3}$,$-2+\sqrt{3}$,0,2,,,,,,,,,,,,,,,
The multiplicative inverse of $\sqrt{7}$ is __________,,easy,"The product of number and its inverse should be identity (1).
\[
\frac{\sqrt{7}}{7}=\frac{\sqrt{7}}{(\sqrt{7})^{2}}=\frac{\sqrt{7}}{\sqrt{7} \cdot \sqrt{7}}=\frac{1}{\sqrt{7}}
\]",,84,$-\frac{1}{\sqrt{7}}$,$\frac{\sqrt{7}}{7}$,$\frac{1}{7}$,1,2,,,,,,,,,,,,,,,
$(12) \quad 0 . \overline{3575}$ is,,easy,Every non-terminating and recurring decimal is rational number e.g. $0 . \overline{24}=\frac{24}{99}$ and this number is $0 . \overline{3575}=\frac{3575}{9999}$,,84,Rational,Irrational,Integer,Non-recurring decimal.,1,,,,,,,,,,,,,,,
"$\quad$ If $|x-3|<5,$ then $x$ lies between",,moderate,"Reverse solve it
(a) $|2-3|=|-1|=1<5$ $|4-3|=|1|=1<5$ satisfy",,84,2 and 4 ,-6 and -2,-2 and 4,-4 and 2,1,,,,,,,,,,,,,,,
$\left|x^{2}\right|=$,,easy,The value inside always generate positive answer since $-x^{2}$ is negative.,,84,$x^{2}$,$-x^{2}$,$x$,Both a and 6,1,,,,,,,,,,,,,,,
"If $Z_{1}=\left(x_{1}, y_{1}\right), \quad Z_{2}=\left(x_{2}, y_{2}\right)$ where $Z_{1}, Z_{2} \in C$ then $Z_{1}+Z_{2}=?$",,easy,"The real part adds in the real part, whereas imaginary adds in imaginary part.
Basic Theoretical Formula ",,84,"(x1+x2, y1+y2)","(x1+y2, x2+y1)","(x1+y1, x2+y2)","(x1-x2, y1-y2)",1,,,,,,,,,,,,,,,
If $Z_{1}=3-6 i$ and $Z_{2}=4+5 i$ then $Z_{1} Z_{2}=?$,,moderate,"simple multiplication for $Z_{1}=\left(x_{1}, y_{1}\right), Z_{2}=\left(x_{2}, y_{2}\right)$
\[
Z_{1} \cdot Z_{2}=\left(x_{1} x_{2}-y_{1} y_{2}, x_{1} y_{2}+x_{2} y_{1}\right)
\]
""So for the given statement:
$(3(4)-(-6)(5), 3(5)+4(-6))=(12+30,15-24)=(42,-9)=42+9 i$""",,84,$42-9 i$,$9-42 i$,$42+9 i$,$7-i$,1,,,,,,,,,,,,,,,
"$\quad$ If $Z_{1}=(1,0), Z_{2}=(2,3)$ then $Z_{1} Z_{2}=?$",,moderate,"simple multiplication for $Z_{1}=\left(x_{1}, y_{1}\right), Z_{2}=\left(x_{2}, y_{2}\right)$
\[
Z_{1} \cdot Z_{2}=\left(x_{1} x_{2}-y_{1} y_{2}, x_{1} y_{2}+x_{2} y_{1}\right)
\]
For given statement: $(1(2)-0(3), 2(0)+3(1))=(2-0,0+3)=(2,3)=2+3 i$",,84,$-2+3 i$,$2-3 i$,$2+3 i$,$-2-3 i$,3,,,,,,,,,,,,,,,
"$(3,5)+(0,4)=?$",,easy,"The real part adds in the real part, whereas imaginary adds in imaginary part. $\left(x_{1}+x_{2}, y_{1}+y_{2}\right)$
For Given Statement: $(3+0,5+4)=(3,9)$ ",,84,"(3,5)","(0,9)","(0,4)","(3,9)",4,,,,,,,,,,,,,,,
"Additive inverse of (3,3) in C is",,easy,The sum of number and its inverse is identity (0),,84,"(3, 0)","(0, 3)","(-3, 3)","(-3,-3)",4,,,,,,,,,,,,,,,
"If Z =(a,b) then multiplicative inverse of Z is",,easy,"Theoretical Formula based on $Z^{-1}=\frac{\bar{z}}{|Z|^{2}}=\frac{a-b i}{(\sqrt{a^{2}+b^{2}})^{2}}=\frac{a-b i}{a^{2}+b^{2}}=\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)$",,84,"$\left(\frac{a}{a^{2}+b^{2}}, \frac{b}{a^{2}+b^{2}}\right)$","$\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)$","$\left(\frac{-a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)$","$\left(\frac{-a}{a^{2}+b^{2}}, \frac{b}{a^{2}+b^{2}}\right)$",2,,,,,,,,,,,,,,,
If $Z=a+b$ then $|Z|=?$,,easy,Theoretical Formula Difficulty: Easy,,84,$a+b$,$\sqrt{a^{2}+b^{2}}$,$a^{2}+b^{2}$,$a^{2}+b^{2}+2 a b$,2,,,,,,,,,,,,,,,
"$\quad$ If $Z=a+b,$ then $\bar{Z}=?$",,easy,conjugate only changes the sign of negative numbers not real.,,84,$a-b$,$-(a+b)$,$-a+b$,$a+b$,4,,,,,,,,,,,,,,,
$i^{15}=?$,,easy,"Divide the power by $4,$ the remainder then be used to solve \begin{tabular}{|c|c|c|c|c|}
\hline Remainder & 0 & 1 & 2 & 3 \\
\hline Answer & 1 & $i$ & -1 & $-i$ \\
\hline
\end{tabular} Divide 15 by 4: will result in remainder 3 so answer is $-i$",,84,1,$-i$,$i$,-1,2,,,,,,,,,,,,,,,
The value of $i^1937$ =?,,moderate,"For powers greater than hundred, just divide last two parts by 4 and get the remainder. For 1937. just divide 37 by 4 the remainder will be 1 so answer is i
\begin{array}{|c|c|c|c|c|}
\hline \text { Remainder } & 0 & 1 & 2 & 3 \\
\hline \text { Answer } & 1 & i & -1 & -i \\
\hline
\end{array}",,84,$i$,$-i$,1,-1,1,,,,,,,,,,,,,,,
"Conjugate of (-3, 4) is",,easy,conjugate only changes the sign of imaginary part of complex numbers not real.,,84,"(3, 4)","(3,-4)","(-3,-4)","(-3,4)",3,,,,,,,,,,,,,,,
$(-i)^{31}$,,easy,$\quad(-i)^{31}=(-1 * i)^{31}=(-1)^{31}(i)^{31}=(-1)(-i)=i$,,84,$i$,$-i$,1,-1,1,,,,,,,,,,,,,,,
The multiplicative inverse of $1-3 i$ is,,easy,"use theoretical formula $\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)$
\[
(1,-3)^{-1}=\left(\frac{1}{1^{2}+3^{2}}, \frac{-(-3)}{1^{2}+3^{2}}\right)=\left(\frac{1}{1+9}, \frac{3}{1+9}\right)=\left(\frac{1}{10}, \frac{3}{10}\right)=\frac{1}{10}(1+i)
\]",,84,$3 i$,$\frac{1}{3 i}$,$-\frac{1}{3}$,none,4,,,,,,,,,,,,,,,
The value of $i^{-29}$ is,,easy,"for negative power, solve the power first, since the remainder of 29 when divided by 4 is $1,$ answer will be $i^{-29}=i^{-1}=\frac{1}{i}=-i$",,84,$i$,$-i$,1,-1,2,,,,,,,,,,,,,,,
If $Z \in C$ then $Z . \bar{Z}=?$,,difficult,The product of complex number and its conjugate is square of modulus. Property.,,84,$Z$,$-Z$,$z^2$,$|Z|^{2}$,4,,,,,,,,,,,,,,,
"If $Z_{1}, Z_{2} \in C$ then $\overline{Z_{1}+Z_{2}}=?$",,easy,property,,84,$\overline{Z_{1}}+\overline{Z_{2}}$,$Z_{1}-Z_{2}$,$Z_{1}+Z_{2}$,$\overline{Z_{1}-Z_{2}}$,1,,,,,,,,,,,,,,,
The value of $(3+2 i)^{3}$ is,,moderate,"Simplify the cube $(a+b)^{3}=a^{3}+b^{3}+3 a^{2} b+3 a b^{2}$ $(3+2 i)^{3}=3^{3}+3(3)^{2}(2 i)+3(3)(2 i)^{2}+(2 i)^{3}$
\[
27+54 i-36-8 i=46 i-9
\]",,84,$62+9 i$,$46-9 i$,$46 i-9$,$46 i+9$,3,,,,,,,,,,,,,,,
C has no identity with respect to + other than___________.,,easy,by definition of identity,,84,$1+0i$,$0+1i$,$0+0i$,$1+1i$,3,,,,,,,,,,,,,,,
The conjugate of $\frac{2+3 i}{-i+1}=?$,,easy,Property of complex numbers $\frac{\overline{z_{1}}}{\overline{z_{2}}}=\overline{\frac{\overline{z_{1}}}{z_{2}}}$,,84,$\frac{2-3 i}{1+i}$,$\frac{2-3 i}{1-i}$,$\frac{2+3 i}{1+i}$,$\frac{2+3 i}{-1-i}$,1,,,,,,,,,,,,,,,
$\quad(-1+\sqrt{-3})^{4}+(-1-\sqrt{-3})^{4}=?$,,moderate," Simplifying even power of complex number and its conjugate always cancel out imaginary parts, so
\[
\begin{array}{c}
-1^{4}+^{4} C_{1}(-1)^{3}(\sqrt{3} i)+^{4} C_{2}(-1)^{2}(\sqrt{3} i)^{2}+^{4} C_{3}(-1)(\sqrt{3} i)^{3}+(\sqrt{3} i)^{4}+-1^{4}+^{4} C_{1}(-1)^{3}(-\sqrt{3} i)+^{4} C_{2}(-1)^{2}(-\sqrt{3} i)^{2}+^{4} C_{3}(-1)(-\sqrt{3} i)^{3}+(-\sqrt{3} i)^{4}
\end{array}
\]
Red parts will cancel each other and all the remaining parts are real,
\[
=1+6(-3)+9+1+6(-3)+9=-16
\]",,84,-2,4,-4,-16,4,,,,,,,,,,,,,,,
"The greatest positive integer "" $k ""$ "" for which $\left(\frac{1+i}{1-i}\right)^{k}=1$ is",,moderate,"for simplicity, $(1+i)^{2}=2 i,(1-i)^{2}=-2 i$
\[
\left(\frac{1+j}{1-i}\right)^{2}=\left(\frac{2 i}{-2 i}\right)=(-1) \rightarrow\left(\frac{1+j}{1-i}\right)^{4}=(-1)^{2}=1
\]",,84,$4 n$,$n$,$2 n$ 1,all of these,1,,,,,,,,,,,,,,,
Set of even prime natural numbers is;,,easy,2 is the only even prime natural number,,84,Finite,Empty,Singleton,infinite,3,,,,,,,,,,,,,,,
"For any positive integer $n$, the value of $\frac{i^{4 n+1}+i^{4 n-1}}{2}$",,moderate,"Sum of two alternative powers of $i$ is always zero. since $i^{4 n}=1$ so
\[
\frac{\frac{d^{4 n} t+i^{4 n}}{2} \tilde{t}^{-1}}{2}=\frac{(1) i+1\left(\tilde{c}^{-1}\right)}{2}=\frac{i+\frac{1}{2}}{2}=\frac{i+(-i)}{2}=0
\]",,84,1,-1,$i$,0,4,,,,,,,,,,,,,,,
$\quad \frac{\sqrt{18}}{\sqrt{72}}$,,easy,"\[
\frac{18}{72}=\frac{1}{4} \rightarrow \frac{\sqrt{18}}{\sqrt{72}}=\sqrt{\frac{18}{72}}=\sqrt{\frac{1}{4}}=\frac{1}{2}
\]",,84,Rational number,irrational,Imaginary,none of these,1,,,,,,,,,,,,,,,
$2 \sqrt{-9} \times \sqrt{-16}=?$,,easy,$2 \sqrt{-9} \times \sqrt{-16}=2(3 i)(4 i)=24 i^{2}=-24$,,84,24,-24,48,-48,2,,,,,,,,,,,,,,,
${\frac{1+i}{1+\frac{1}{i}}}=?$,,easy,"The entries of numerator and denominator has same coefficient as
\[
\left|\frac{1+i}{1+\frac{1}{i}}\right|=\left|\frac{1+i}{1-i}\right|=\frac{\sqrt{1^{2}+1^{2}}}{\sqrt{1^{2}+1^{2}}}=\frac{\sqrt{2}}{\sqrt{2}}=1
\]",,84,$\sqrt{2}$,$\frac{1}{\sqrt{2}}$,$\frac{3}{\sqrt{2}}$,1,4,,,,,,,,,,,,,,,
$\quad\left(\frac{1-i}{1+i}\right)^{100}=x+i y$,,moderate," for simplicity, $(1+i)^{2}=2 i,(1-i)^{2}=-2 i$
\[
\left(\frac{1+j}{1-i}\right)^{2}=\left(\frac{2 i}{-2 i}\right)=(-1) \rightarrow\left(\frac{1+i}{1-i}\right)^{4}=(-1)^{2}=1
\]
So 100 is divisible by $4,$ so answer will be 1",,84,"$x=2, y=-1$","$x=1, y=0$","$x=0, y=1$","$x=-1, y=2$",2,,,,,,,,,,,,,,,
"$\quad\{1,-1\}$ is closed with respect to",,easy,"Closure law upholds. \begin{tabular}{|c|c|c|c|c|c|c|}
\hline$*$ & $\mathbf{1}$ & $\mathbf{- 1}$ & & $\div$ & $\mathbf{1}$ & $\mathbf{- 1}$ \\
\hline $\mathbf{1}$ & 1 & -1 & & $\mathbf{1}$ & 1 & -1 \\
\hline $\mathbf{- 1}$ & -1 & 1 & & $\mathbf{- 1}$ & -1 & 1 \\
\hline
\end{tabular}",,84,Addition,multiplication,Division,both b & c,4,,,,,,,,,,,,,,,
$\left(\cos 20^{\circ}+i \sin 20^{\circ}\right)^{5} \div\left(\cos 30^{\circ}+i \sin 30^{\circ}\right)^{3}=?$,,moderate,"use De Moiver's Theorem $(r \operatorname{cis} \theta)^{n}=r^{n}$ cis $(n \theta)$ and property of argument as
\[
\begin{array}{c}
\operatorname{Arg}\left(\frac{z_{1}}{z_{2}}\right)=\operatorname{Arg}\left(z_{1}\right)-\operatorname{Arg}\left(z_{2}\right) \\
\frac{(\operatorname{cis}(20))^{5}}{(\operatorname{ct}(30))^{3}}=\frac{(5(20))}{(3(30)}=\frac{\operatorname{cis}(100)}{\operatorname{cis}(90)}=\operatorname{cis}(100-90)=(10)
\end{array}
\]",,84,$\cos 20^{\circ}+i \sin 20^{\circ}$,$\cos 30^{\circ}+i \sin 30^{\circ}$,$\cos 10^{\circ}+i \sin 10^{\circ}$,$\cos 20^{\circ}-i \sin 20^{\circ}$,3,,,,,,,,,,,,,,,
" The polar coordinates of a point are $\left(2,319^{\circ}\right)$ then the Cartesian coordinates of the point
are",,easy," No need to solve the whole angle, just check the quadrant",,84,"(1.509,-1.312)","(-1.509,-1.312)","(1.509,1.312)","(-1.509,1.312)",1,,,,,,,,,,,,,,,
Multiplicative inverse of a non-zero element $a \in Z$ is,,easy,"The product of number and its inverse should be identity (1).
\[
a \times \frac{1}{a}=1
\]",,84,1,$-a$,$\frac{1}{a}$,Non - existent,3,,,,,,,,,,,,,,,
"The $\left\{x \in R, x^{2}+10=0\right\}$ is",,easy,$x^{2}=-10 \rightarrow x=\sqrt{-10}=\sqrt{10} i$ which is imaginary,,84,\{10\},\{-10\},Null set,$R$,3,,,,,,,,,,,,,,,
If $Z$ is a complex number then the minimum value of $|Z|+|Z-1|$ is,,easy,"The modulus always generate the positive number, even if $|Z|=0,|Z-1|=1$",,84,1,2,0,-2,1,,,,,,,,,,,,,,,
$\quad$ If $\frac{Z_{1}}{Z_{2}}$ is purely imaginary then $\left|\frac{Z_{1}+Z_{2}}{Z_{1}-Z_{2}}\right|=?$,,moderate,"$\quad$ divide by $Z_{2}, \quad\left|\frac{Z_{1} / Z_{2}+Z_{2} / Z_{2}}{Z_{1} / Z_{2}-Z_{2} / Z_{2}}\right|, \frac{Z_{1}}{Z_{2}}=a i,$ since it is imaginary
\[
\left|\frac{\alpha i+1}{a i-1}\right|=1
\]",,84,0,1,-1,Cannot be determined,2,,,,,,,,,,,,,,,
${\left(\frac{1}{2}+\frac{i \sqrt{3}}{2}\right)^{6}}=$,,moderate," Simplify it in form of $z=r \operatorname{cis}(\theta)$ and then convert in $z=r(\cos \cos (\theta)+i \sin \sin (\theta))$
\[
r=\sqrt{\left(\frac{1}{2}\right)^{2}+\left(\frac{\sqrt{3}}{2}\right)^{2}}=1, \quad \theta=\left(\frac{\sqrt{3}}{1}\right)=60^{\circ}
\]
Simplify power for modulus $r^{\prime}=r^{6}=1^{6}=1,$ and multiply for angle $\theta^{\prime}=6 \theta=360^{\circ}$
New complex number is $z^{\prime}=r^{\prime} \operatorname{cis}\left(\theta^{\prime}\right)=1<360^{\circ}=1(\cos \cos (360)+i \sin (360))=1$",,84,$\omega$,$\omega^{2}$,1,0,3,,,,,,,,,,,,,,,
"If the square of a number $x$ is "" $i$ "" then $x=?$",,moderate,"Take the squares of numbers in the option, Reverse solve,
\[
\left(\frac{1+i}{\sqrt{2}}\right)^{2}=\frac{1+2i+i^{2}}{2}=\frac{1-1+2 i}{2}=\frac{2 i}{2}=i
\]",,84,$\left(\frac{1+i}{\sqrt{2}}\right)$,$\frac{1-i}{\sqrt{2}}$,$\frac{i}{\sqrt{2}}$,$1+i$,1,,,,,,,,,,,,,,,
"If $Z=x+i y,$ then $Z^{2}=|Z|^{2}$ if",,easy,"\begin{array}{l}
\text { Sol: } \quad Z=x+i y \rightarrow Z^{2}=x^{2}-y^{2}+2 x y i \quad \text { whereas } \quad|Z|^{2}=x^{2}+y^{2} \\
\text { So for } y=0, \quad Z^{2}=|Z|^{2}
\end{array}",,84,$x=0$,$y=0$,"$x \neq 0, y \neq 0$","$x=0, y \neq 0$",2,,,,,,,,,,,,,,,
\arg \left(\frac{Z_{1}}{Z_{2}}\right)=?,,easy,Property of Arguments,,84,$\arg Z_{1} \div \arg Z_{2}$,$\arg Z_{1}+\arg Z_{2}$, $\arg Z_{1}-\arg Z_{2}$, None of these,3,,,,,,,,,,,,,,,
The modulus of the complex number $1+i \tan \alpha=?$,,easy,$\quad Z=1+i \tan \tan \alpha \rightarrow|Z|=\sqrt{1^{2}+\alpha}=\sqrt{\alpha}=\sec \sec \alpha$,,84,1,$\tan \alpha$,$\sec \alpha$,$\operatorname{cosec} \alpha$,3,,,,,,,,,,,,,,,
If $(\cos \theta+i \sin \theta)^{2}=x-i y$ then $x^{2}+y^{2}=?$,,moderate,"$(\cos \cos \theta+i \sin \sin \theta)^{2}=\theta-\theta+2 i \sin \sin \theta \cos \cos \theta=\cos \cos 2 \theta+i \sin \sin 2 \theta=x-y i$
\[
x=\cos \cos 2 \theta, y=\sin \sin 2 \theta, \rightarrow x^{2}+y^{2}=1
\]",,84,1,0,2,-1,1,,,,,,,,,,,,,,,
If $Z=4+6 i^{2}$ then $|Z|=?$,,easy,$\sqrt{52}$ Sol: $\quad|Z|=\sqrt{4^{2}+6^{2}}=\sqrt{16+36}=\sqrt{52}$,,84,$\sqrt{52}$,16,36,2,1,,,,,,,,,,,,,,,
"If $Z=\frac{2+7 i}{2-8 i},$ then $\frac{2-7 i}{2+8 i}=?$",,easy,Property of complex numbers. $\quad \bar{Z}=\overline{\frac{Z_{1}}{Z_{2}}}=\frac{\bar{Z}_{1}}{\bar{z}_{2}}$,,84,$Z^{-1}$,$\bar{Z}$,$\overline{\bar{z}}$,-Z,2,,,,,,,,,,,,,,,
"$\quad$ If $Z=\cos \theta+i \sin \theta,$ then $\frac{1}{Z}=?$",,easy," Use the formula of inverse, $Z^{-1}=\frac{\bar{z}}{|Z|^{2}}=\frac{a-b i}{(\sqrt{a^{2}+b^{2}})^{2}}=\frac{a-b i}{a^{2}+b^{2}}=\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)$
$(\cos \cos \theta+i \sin \sin \theta)^{-1}=\left(\frac{\cos \cos \theta}{\theta+\theta}, \frac{-\sin \sin \theta}{\theta+\theta}\right)=\left(\frac{\cos \cos \theta}{1},-\frac{\sin \sin \theta}{1}\right)=\cos \cos \theta-i \sin \sin \theta$",,84,1,-1,$\cos \cos \theta-i \sin \sin \theta$,none of these,3,,,,,,,,,,,,,,,
Which one is not a set,,easy,A set is collection of unique entries that entries does not repeat. In part (c) “4” is repeating so it is not a set,,85,"A = {1,2,3}","A={3,4,7}","A={3,4,5,4}","B={9,7}",3,,,,,,,,,,,,,,,
An element ‘b’ of a set B can be written as,,easy,Basic notations for an element belongs to set,,85, $b \subseteq B$, $b<B$, $b \in B$, $B \in b$,3,,,,,,,,,,,,,,,
The union of all even integers and odd integers is,,easy,Set of all integers will contain even and odd integers.,,85,Z,N,$Z^+$,(d) $\bar{Z}$,1,,,,,,,,,,,,,,,
"$\quad$ If $A=\{1,3,4\}, B=\{c, d, f\}$ then $A \cap B=?$",,easy,A and B are disjoint sets they have no common entry.,,85,\{0\},$\{\phi\}$,$\phi$,"$\{1,3,4, c, d, f\}$",3,,,,,,,,,,,,,,,
Two sets $X$ and $Y$ are disjoint if,,easy,"Property of disjoint Sets, since they have no common entry their intersection is empty set.",,85,$X=Y$,$X \cup Y=Z$ (Z= universal set),$X \cap Y=\phi$,$X \neq Y$,3,,,,,,,,,,,,,,,
"If $A=\{4,3\} .$ Then $P(A)$ is",,easy,Definition of Power set. ,,85,"$\{,\{4\},\{3\},\{4,3\}\}$","\{\{3\},\{4\},\{4,3\}\}","$\{,\{3\},\{4\}\}$","$\{,\{3,4\}\}$",1,,,,,,,,,,,,,,,
"For any three sets $X, Y$ and $Z, X \cap(Y U Z)=?$",,easy,Distributive Properties of Set,,85,$(X U Y) \cap(X \cap Z)$,$(X \cap Y) U(X \cap Z)$,$X \cap(Y \cap Z)$,"$\{,\{3,4\}\}$",2,,,,,,,,,,,,,,,
"For any two sets $X$ and $Y \& X \subset Y, X U(Y-X)=?$",,moderate,"Special Case, $Y-X$ contain all entries of Y without X, while union it with $X$ will result in addition of all entries of $X$ back in the set $Y$.",,85,$x$,$Y$,$\phi$,$x \cap Y$,1,,,,,,,,,,,,,,,
"For any subset $B$ of $X, B \cap B^{\prime}=?$",,easy,The intersection of Set and its compliment is Empty set,,85,$\phi$,$x$,$B \cup x$,$B \cap B$,2,,,,,,,,,,,,,,,
"For $A \subset X, A \cup A^{\prime}=?$",,easy,The union of Set and its compliment is universal set,,85,$A \cup \phi$,$A \cap X$,$A \cup(A-X)$,$A \cup(X-A)$,4,,,,,,,,,,,,,,,
$A \cup(X-A)$,,moderate,"The Sign ""/"" indicates the relative complement. $A-U=$ Empty set.",,85,$A^{\prime}$,$A$,$\phi$,XUA,3,,,,,,,,,,,,,,,
Which binary operation is not defined in the set of natural numbers?,,easy,Natural numbers are only positive number and subtraction will result in negative number.,,85,$+$,$-$,\times,none,2,,,,,,,,,,,,,,,
"To each element of a group, there correspond how many inverse elements?",,easy,"Group holds all the properties of Field, so every element has one inverse. The basic principle of the groups.",,85,Only one,at least one,More than one,two,1,,,,,,,,,,,,,,,
"The identity element of N, w-r-t^{u}+^{n} \text { is }",,easy,Natural number have no identity or inverse,,85,1,0,2,none,4,,,,,,,,,,,,,,,
If $A \subseteq B$ then which of the following must be true?,,easy,every element of $A$ is in $B$ so the result will be empty set not 0,,85,$A-B=0$,$A-B=\phi$,$B-A=0$,$B-A=\phi$,1,,,,,,,,,,,,,,,
$n(A \cup B)=n(A)+n(B)$ only if,,moderate,"Special Property; for two disjoint sets, the number of element of union is sum of element of each set.",,85,$A \cup B=\phi$,$A \cup B=A \cap B$,$A \cap B=\phi$,$A=B$,3,,,,,,,,,,,,,,,
The truth value of the proposition 3 is a +ve number or $2+2=7$  is,,easy,"3 is +ve is True, while $2+2=7$ is False, so true or False is true, $T \vee F=T$",,85,TRUE,FALSE,Contigency,none,1,,,,,,,,,,,,,,,
