question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
"The graph represents adiabatic process?
Pressure (on y axis) Volume (on x axis)",,moderate,"An adiabatic process occurs without transferring heat or mass between a thermodynamic system and its surroundings. Unlike an isothermal process, an adiabatic process transfers energy to the surroundings only as work
$P \propto 1/V$
",,36,,,,,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p11_Heat_and_Thermodynamics/26.1.png,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p11_Heat_and_Thermodynamics/26.2.png,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p11_Heat_and_Thermodynamics/26.3.png,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p11_Heat_and_Thermodynamics/26.4.png,3,,,,,,,
During which the work done is minimum,,moderate,"
An isochoric process, also called a constant-volume process
\[
\text { Work done }=\mathrm{P} \Delta \mathrm{V}
\]
Change in Volume \( =0 \)
Area \( =0 \)
So Work done \( =0 \)",,36,Isobaric,Isothermal,Isochoric,Adiabatic,,,,,3,,,,,,,
During which the work done is maximum,,moderate,"Iso means same baric means pressure. Isobaric is the process in which the pressure remains the same. The graph of isobaric is 
Hence the work is maximum",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p11_Heat_and_Thermodynamics/p11e28.PNG,36,Isobaric,Isothermal,Isochoric,Adiabatic,,,,,1,,,,,,,
In complete Carnot engine,,easy,"The Carnot Cycle is a thermodynamic cycle that consists of four successive reversible processes: isothermal expansion, adiabatic expansion, isothermal compression, and adiabatic compression. The change in internal energy is zero in complete Carnot engine",,36,workdone is zero,Change in internal energy is zero,Net heat added is zero,All of these,,,,,2,,,,,,,
In Carnot engine the heat is added during,,easy,In Carnot engine when isothermal expansion takes place the heat goes out in the form of work done so in order to maintain the constant temperature the heat is added to the system.,,36,Adiabatic Compression,Adiabatic Expansion,Isothermal compression,Isothermal expansion,,,,,4,,,,,,,
Which of the following is correct expression,,moderate,"We know that
\[
\mathrm{C}_{\mathrm{p}}-\mathrm{C}_{\mathrm{v}}=\mathrm{R}
\]
\( \Upsilon= \) heat require to raise the temperature by \( 1 \mathrm{C} \) at constant pressure / heat require to raise the temperature by \( 1 \mathrm{C} \) at constant volume
\[
\mathrm{C}_{\mathrm{p}} / \mathrm{C}_{\mathrm{v}}=\Upsilon
\]
Also
\[
\mathrm{C}_{\mathrm{p}}=R\Upsilon /(\Upsilon-1)
\]",,36,\( \mathrm{C}_{\mathrm{p}}-\mathrm{C}_{\mathrm{v}}=\mathrm{R} \),\( \mathrm{C}_{\mathrm{p}} / \mathrm{C}_{\mathrm{v}}=\Upsilon \),\( C_{p}= R\Upsilon /(\Upsilon-1) \),All of these,,,,,4,,,,,,,
Total change in entropy for any real life process is,,easy,"A negative enthalpy represents an exothermic reaction, releasing heat. A reaction that absorbs heat is endothermic. Enthalpy will be positive for real life process, and it will cool down its surroundings",,36,$\leq$ 0,<0,Both of these,Cannot be predicted,,,,,1,,,,,,,
Which one of the following is not required in diesel engine,,easy,Spark plug is not required in diesel engine as it burns automatically by intense compression as the temperature is increased by compression.,,36,Piston,Crankshaft,Fly wheel,Spark plug,,,,,4,,,,,,,
A carnot engine with low temperature reservoir is at 7C and having efficiency of $50%$. If we want to achieve the efficiency of $70%$ what will be the new temperature of reservoir,,difficult,"\[
\mathrm{T} 2=7 \mathrm{C}=280 \mathrm{K}
\]
Efficiency \( = \) Output/input
\[
\begin{array}{l}
\text { Efficiency }=n=1-(\mathrm{T} 2 / \mathrm{T} 1) \\
0.50=1-(280 / \mathrm{T} 1) \\
\mathrm{T} 1=560 \mathrm{K}
\end{array}
\]
We want to have \( 70 \% \) efficiency
So
\[
\begin{array}{l}
0.70=1-(280 / \mathrm{T}) \\
\mathrm{T} 1=933 \mathrm{K}=660 \mathrm{C}
\end{array}
\]",,36,273C,660C,473C,573C,,,,,2,,,,,,,
A particular substance absorbs a heat of 500J at triple point of water and absorbs a heat of 1000J at some certain temperature T while undergoing complete Carnot cycle. What will be the value T,,difficult,"We know that
\[
\begin{array}{l}
\mathrm{T}=273.16\left(\mathrm{Q} / \mathrm{Q}_{3}\right) \\
\mathrm{Q}=1000 \mathrm{J} \\
\mathrm{Q}_{3}=500 \mathrm{J} \\
\mathrm{T}=273.16(2)=546.32 \mathrm{K}=273.16 \mathrm{C}
\end{array}
\]",,36,546.32K,273.16K,273.16K,Both A and C,,,,,4,,,,,,,
"The source is 227C in Carnot engine. If the temperature difference between source and sink is 100C ,what will be the efficiency of Carnot engine?",,moderate,"We know that
\[
\begin{array}{l}
\text { Efficiency }=n=(T 1-T 2) / T 1 \\
T 1-T 2=100 C=373 K \\
T 1=273 C=546 \mathrm{K} \\
n=373 / 546=0.68 \\
n=68 \%
\end{array}
\]",,36,68$\%$,30$\%$,40$\%$,50$\%$,,,,,1,,,,,,,
In order to have $100%$ efficiency in Carnot engine we should have,,moderate,In order to have 100 $\%$ efficiency we need to have source temperature very high at infinity and the sink temperature very low equal to -273C which is practically impossible.,,36,$T_{2} =0C$,$T_{2} =0K$,$T_{1} =infinity$,Both B and C,,,,,4,,,,,,,
The turbine in a stream power plant takes steam from a boiler at 427C and exhausts into a low temperature reservoir at 77C. What is the maximum efficiency?,,moderate,"We know that
\[
\begin{array}{l}
\mathrm{n}=1-\mathrm{T} 2 / \mathrm{T} 1 \\
\mathrm{T} 2=77 \mathrm{C}=350 \mathrm{K} \\
\mathrm{T} 1=427 \mathrm{C}=700 \mathrm{K} \\
\mathrm{n}=1-(350 / 700)=0.55 \\
\mathrm{n}=50 \%
\end{array}
\]",,36,40$\%$,50$\%$,60$\%$,70$\%$,,,,,2,,,,,,,
Which of the following is the correct representation of efficiency of Carnot engine,,moderate,"We know that
Efficiency \( = \) output / input
\[
\begin{array}{l}
\text { Efficiency = work/heat } \\
\text { Efficiency }=1-(\mathrm{T} 2 / \mathrm{T} 1)
\end{array}
\]
T1 is the source temperature
\[
\text { Also Efficiency }=(\mathrm{T} 1-\mathrm{T} 2) / \mathrm{T} 1
\]",,36,\( n=\left(t_{1}-t_{2}\right) /\left(t_{1}+273\right) \),\( n=1-\left(\left(t_{2}+273\right) /\left(t_{1}+273\right)\right) \),\( \mathrm{n}=\left(\mathrm{W} / \mathrm{Q}_{1}\right) \),All of these,,,,,4,,,,,,,
A Carnot engine and a practical engine both are working under same temperature. Which one is correct?,,moderate,"Carnot engine is an ideal engine in which we does not encounter engine condition, oil quality, outside temperature. These factors correspond to loss of energy. So, practical engine has less efficiency than Carnot engine.",,36,Carnot engine has more efficient                                           ,Practical engine has more efficient,Practical engine has less efficient,Both A and C,,,,,4,,,,,,,
"At absolute temperature, the KE of the molecules",,easy,"Absolute temperature = 0K = -273C
At this temperature we considered that the molecules becomes very close to each other and have zero K.E",,36,becomes zero,become minimum,become maximum,None of these,,,,,1,,,,,,,
The average KE of the molecular motion appears as,,easy,"We know that
\(
\mathrm{T}=(2 / 3 \mathrm{k})<1 / 2 \mathrm{mv}^{2}>
\)
\( \mathrm{T}= \) constant \( <\mathrm{KE}> \)
\( \mathrm{T} \propto \mathrm{KE} \)",,36,PE,heat,temperature,None of these,,,,,3,,,,,,,
Normal human temperature 98.6F correspond to,,moderate,"We know that
\[
\begin{array}{l}
C=(F-32)(5 / 9) \\
C=(98.6-32)(5 / 9) \\
C=37 C
\end{array}
\]",,36,37C,42C,55C,410C,,,,,1,,,,,,,
Temperature is a property which determines,,easy,Definition of temperature,,36,How much heat a body contains,Weather a body will feel hot or cold to touch,in which direction the heat will flow between two systems ,How much total absolute energy a body has,,,,,3,,,,,,,
In which of the following process the entropy remain constant,,moderate,"Adiabatic means that neither the heat enter in the system nor leaves from the system. So the net heat change is zero, hence the entropy is also zero.",,36,Isobaric,Isochoric,Adiabatic,Isothermal,,,,,3,,,,,,,
Second law of thermodynamics implies,,easy,"In order to have 100 $\%$ efficiency, we need to have source temperature very high at infinity and the sink temperature very low equal to -273C which is practically impossible.",,36,Whole heat can be converted into mechanical energy,No heat engine can have efficiency 100$\%$,Some heat engine working in reversible process can have efficiency 100$\%$,A refrigerator can reduce the temperature to absolute zero,,,,,2,,,,,,,
According to Pascal’s law the pressure of gas in a vessel is,,easy,Pressure on the wall of cube is considered to be equal according to Pascal.,,36,different in different direction,Same in all direction,) Same only along opposite direction,Same only along normal direction,,,,,2,,,,,,,
If the distance between two identical charges is infinite. What will be the force present between them?,,moderate,"If the distance between charges becomes infinite there is zero force present between. We can also find from Coulomb’s law
$\mathrm{F}=\mathrm{k} \mathrm{q}_{1} \mathrm{q}_{2} / \mathrm{r}^{2}$
$\mathrm{F}$ is the force $\mathrm{k}$ is the constant $\mathrm{q}$ represent charge $\mathrm{r}$ is the distance between charges
As r is infinite, hence something over infinite is zero.",,37,\mathrm{kq}^{2},0,1,undetermined,,,,,2,,,,,,,
At which angle between electric field and vector area the electric flux is half of the its maximum flux,,easy,"The formula for finding electric flux is as under
$\boldsymbol{\omega}=\mathbf{E}$ A cose then the maximum flux will be $\boldsymbol{\omega}=\mathbf{E} \mathbf{A}$
( is flux $\mathrm{E}$ is the electric field and $\mathrm{A}$ is the area
We are required to find the half of maximum that is $\omega=\mathbf{E} \mathbf{A}(\mathbf{1} / \mathbf{2})$
So by the above relation $\cos \theta=(1 / 2)$
And $\theta=60$",,37,60,0,90,180,,,,,1,,,,,,,
"The ECG records _______ to form a waveform for heart monitoring",,easy,ECG records voltage from different areas of body. The voltage is produce due to the nerve movement that carries information.,,37,Current,Voltage,Electric Field,None,,,,,2,,,,,,,
"1eV = ________",,moderate,"$\mathrm{eV}$ is also a unit of energy and we can find the relation with joule by the following
formula
\[
\mathbf{V}=\mathbf{W} / \mathbf{q}
\]
Here V represents the voltage, Wresents the work done and q is the unit positive
charge.
\[
\mathrm{W}=\mathrm{V} \mathrm{q}=1 \mathrm{V} 1 \mathrm{C}=1 \mathrm{Joule}
\]
But in the question we have 1 eV
\[
\begin{array}{l}
1 \mathrm{e}=1.6 \times 10^{-19} \mathrm{C} \\
\text { Hence } 1 \mathrm{eV}=1 \mathrm{V} \times 1.6 \times 10^{-19} \mathrm{C}
\end{array}
\]",,37,6.1 \times 10^{-19} \mathrm{J},6.1 \times 10^{-11} \mathrm{J},1.6 \times 10^{-19} \mathrm{J},1.6 \times 10^{-11} \mathrm{J},,,,,3,,,,,,,
Which of the following has large “RC” as the graph is between q (on y axis )and t(on x axis).,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q5.PNG,moderate,"We know that
\[
\begin{array}{l}
\mathrm{RC}=\mathrm{t} \\
\text { And } \mathrm{Q}=\mathrm{Q}_{\circ} \mathrm{e}^{-\mathrm{t/RC}}
\end{array}
\]
By putting in equation
\[
\mathrm{Q}=\mathrm{Q}_{\mathrm{o}}(0.369)
\]
This is the charge that is decayed.
So the charge stored will be
\[
\mathrm{Q}=\mathrm{Q}_\circ(0.63)
\]
$\mathrm{RC}$ is the time constant in which in which $63 \%$ of the final charge stored in the plates of
capacitor. $\mathrm{B}$ curve takes greater time to store $63 \%$ of the final charge than compared to
curve A.",,37,A,B,None,Both A and B,,,,,2,,,,,,,
"If the magnitude of the charges is doubled and the distance between them is also doubled. What will the force become",,moderate,"by coulombs law
\[
\begin{array}{l}
\mathrm{F}=\mathrm{k} \mathrm{q}_{1} \mathrm{q}_{2} / \mathrm{r}^{2} \\
\mathrm{F}=\mathrm{k}\left(2 \mathrm{q}_{1}\right)\left(2 \mathrm{q}_{2}\right) /(2 \mathrm{r})^{2} \\
\mathrm{F}=\mathrm{k}\left(4 \mathrm{q}_{1} \mathrm{q}_{2}\right) /\left(4 \mathrm{r}^{2}\right) \\
\mathrm{F}=\mathrm{k} \mathrm{q}_{1} \mathrm{q}_{2} / \mathrm{r}^{2}
\end{array}
\]",,37,Doubled,Half,4 Times,Same,,,,,4,,,,,,,
"There are three charges present in the figure. If the net force on the central charge is zero. What will be the ratio of a/b?
",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q7.PNG,difficult,"If the net force present between them is zero. It means
Force due to the effect of $3 q$ charge on $q$ will be equal to the force due to $2 q$ on $q .$ So in
that manner the force acting on q charge will be zero.
\[
\begin{array}{c}
\mathrm{F}_{(2 \mathrm{q})(\mathrm{q})}=\mathrm{F}_{(3 \mathrm{q})(\mathrm{q})} \\
\mathrm{k}(2 \mathrm{q})(\mathrm{q}) / \mathrm{a}^{2}=\mathrm{k}(\mathrm{q})(3 \mathrm{q}) / \mathrm{b}^{2} \\
\mathrm{a}^{2} / \mathrm{b}^{2}=2 / 3 \\
\mathrm{a} / \mathrm{b}=\sqrt{(} 2 / 3)
\end{array}
\]",,37,2/3,\sqrt{(} 2 / 3),3/2,\sqrt{(} 3/2),,,,,2,,,,,,,
Electric field due to point charge depends on,,easy,"by the formula of electric field, we can see the dependence
\mathrm{E}=\mathrm{k} \mathrm{q} / \mathrm{r}^{2}",,37,Quantity of charge,Distance from the charge,Medium in which charge is placed,Both A and B,,,,,4,,,,,,,
The ratio of electric force to electric field strength is equal to,,easy,"take the ratio of electric force and electric field strength
We know that
E=F/q
F/E=q",,37,Charge,Current,Voltage,None,,,,,1,,,,,,,
" The study of charges at rest is known as ",,easy," Electro means charge and static means at rest",,37,Electromagnetics,"Electrostatics",Electricity,None,,,,,2,,,,,,,
There are +5qC charges present on the surface of sphere. The electric field at the center,,easy," there is no electric field present inside the sphere. This is because of the zero spot regions as electric field cancel out the opposite effect.
",,37,0,5,10,2.5,,,,,1,,,,,,,
" Four charges q1= +2C, q2= +4C, q3= +3C, q4= +5C are present in a closed surface, the electric flux through the surface will be
",,moderate,"by means of gauss law total flux can be calculated as
\[
\begin{array}{l}
\omega=\left(1 / e_{0}\right)(2+4+3+5) \\
\omega=\left(1 / e_{0}\right)(14)
\end{array}
\]",,37,14 / \mathrm{e}_{0},12 / \mathrm{e}_{0},48 / \mathrm{e}_{0},None,,,,,1,,,,,,,
"The negative of potential gradient is",,easy,"Electric intensity as a potential gradient can be found by the following formula
\[
\mathrm{E}=-\Delta \mathrm{V} / \Delta \mathrm{r}
\]",,37,Electric energy,Electric intensity,Electric potential,None,,,,,2,,,,,,,
The work done per unit positive charge is equal to,,easy,"Formula
V=W/q
",,37,Electric field strength     ,Electric intensity, Electric potential difference,None,,,,,3,,,,,,,
 If a charge of 5C is moved against an electric field of 10 $NC^{-1}$  through a distance of 5m the P.E against the charge is,,difficult,"We know that
\[
\begin{array}{l}
\mathrm{V}=\mathrm{W} / \mathrm{q} \\
\mathrm{V} \mathrm{q}=\mathrm{W}
\end{array}
\]
$V$ is the voltage $q$ is the charge and $W$ represents work done
\[
\mathrm{E}=-\Delta \mathrm{V} / \Delta \mathrm{r}
\]
$\mathrm{E}$ is the electric field $\mathrm{V}$ is the voltage $\mathrm{r}$ is the distance
\[
\mathrm{V}=\mathrm{Er}
\]
$\mathrm{W}=\mathrm{Erq}$
\[
\mathrm{W}=5 \times 10 \times 5=250 \mathrm{J}
\]",,37,25J,200J,2J,250J,,,,,4,,,,,,,
In Millikan’s oil drop experiment the particle become suspended when,,easy,the charge is suspended by equating electric force and gravitational force.,,37,\mathrm{F}_{\mathrm{d}}=\mathrm{F}_{\mathrm{z}},\mathrm{F}_{\mathrm{d}}=\mathrm{F}_{\mathrm{d}},\mathrm{F}_{\mathrm{e}}=\mathrm{F}_{\mathrm{g}},Both A and B,,,,,3,,,,,,,
The minimum charge of an electron in Millikan’s oil drop experiment comes out to be,,easy,"This is the charge present on one electron
",,37,1.6 \times 10^{-19} \mathrm{C},6.1 \times 10^{-19} \mathrm{C},1.6 \times 10^{-11} \mathrm{C},6.1 \times 10^{-11} \mathrm{C},,,,,1,,,,,,,
" Which force of the following is always attractive
",,easy,"Gravitational force is always attractive and always pointing towards the center of earth.
Electrostatic force is attractive for same charges and repulsive for two charges that have opposite charge.
Electric force is the same as that of electrostatic force but the charges must be in motion in electric force.",,37,Electrostatic Force ,Gravitational force,Electric force,Both B and C,,,,,2,,,,,,,
"A particle carrying a charge of 10e moving downward in a potential difference of 5V, the energy gained is",,moderate,"We know that
\[
\mathrm{W}=\mathrm{qV}
\]
q is the charge and $V$ is the voltage
\[
\begin{array}{l}
\mathrm{W}=(5)(10)=50 \mathrm{eV} \\
\mathrm{W}=50 \times 1.6 \times 10^{-19}
\end{array}
\]
\[
\mathrm{W}=8 \times 10^{-18} \mathrm{J}
\]",,37,50eV,5eV,8 \times 10^{-18} J,Both A and C,,,,,1,,,,,,,
" The ratio between electric and gravitational force if two identical charges of 1C placed 1 meter apart and two masses of 1kg placed 1 meter apart",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q20.PNG,difficult,"\[
\begin{array}{l}
\mathrm{F}_{\mathrm{e}}=\mathrm{k}(1)(1) / 1=\mathrm{k} \\
\mathrm{F}_{\mathrm{g}}=\mathrm{G}(1)(1) / 1=\mathrm{G}
\end{array}
\]
Dividing both
\[
\mathrm{F}_{\mathrm{e}} / \mathrm{F}_{\mathrm{g}}=\mathrm{k} / \mathrm{G}
\]",,37,\frac{F e}{F g}=\frac{2 k}{G},\frac{F e}{F g}=\frac{k}{2 G},\frac{F e}{F g}=\frac{G}{k},\frac{E c}{F g}=\frac{k}{G},,,,,4,,,,,,,
 In the figure what is the electric potential at point A,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q21.PNG,difficult,"Electric potential due to $2 q$ on point $A$
\[
\mathrm{V}_{1}=\mathrm{k} \mathrm{q} / \mathrm{r}=\mathrm{k}(2 \mathrm{q}) / \mathrm{d}
\]
Electric potential due to $-q$ on point $A$
\[
\mathrm{V}_{2}=\mathrm{k} \mathrm{q} / \mathrm{r}=\mathrm{k}(-\mathrm{q}) / 2 \mathrm{d}
\]
Net Electric potential
\[
\begin{array}{l}
\mathrm{E}=\mathrm{V}_{2}+\mathrm{V}_{1}=(2 \mathrm{kq} / \mathrm{d})-(\mathrm{kq} / 2 \mathrm{d}) \\
\mathrm{E}=(\mathrm{kq} / \mathrm{d})(2-(1 / 2)) \\
\mathrm{E}=(\mathrm{kq} / \mathrm{d})(3 / 2) \\
\mathrm{E}=3 \mathrm{kq} / 2 \mathrm{d}
\end{array}
\]",,37,kq/d,Zero,3kq/d,3kq/2d,,,,,4,,,,,,,
 In the above figure what is the potential difference at point A,,difficult,"Electric potential due to $2 q$
\[
\begin{array}{l}
\mathrm{V}_{1}=\mathrm{k} \mathrm{q} / \mathrm{r}=\mathrm{k}(2 \mathrm{q}) / \mathrm{d} \\
\mathrm{V}_{2}=\mathrm{k} \mathrm{q} / \mathrm{r}=\mathrm{k}(-\mathrm{q}) / 2 \mathrm{d} \\
\mathrm{V}=\mathrm{V}_{2}+\mathrm{V}_{1}=(2 \mathrm{kq} / \mathrm{d})+(\mathrm{kq} / 2 \mathrm{d}) \\
\mathrm{V}=5 \mathrm{kq} / 2 \mathrm{d}
\end{array}
\]",,37,Zero,5kq/2d,3kq/d,5kq/2d,,,,,4,,,,,,,
 Which of the following is the energy storage device,,easy,"Capacitor and inductor store energy in the form of electric and magnetic field.",,37,Inductor,Capacitor,Resistor,Both A and B,,,,,4,,,,,,,
"We know that Q=CV, the graph between C and V in the absence of dielectric is",,moderate,In the absence of dielectric no matter how much we change the voltage the capacitance will remain the same. Graph d show constant capacitances with the change in voltage.,,37,,,,,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.1.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p7_Oscillations/10.3.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,4,,,,,,,
"A capacitor is a ",,easy,"All are definition and property of capacitor",,37,Two terminal storage device,Electric energy storage device,Electric charge storing device,All,,,,,4,,,,,,,
The equivalent series capacitance is equal to,,moderate,All are same and equal expression for finding equivalent capacitance in series.,,37,1 / \mathrm{C}_{\mathrm{E}}=1 / \mathrm{C}_{1}+1 / \mathrm{C}_{2}+\ldots \ldots,\mathrm{C}_{\mathrm{E}}=\mathrm{C} / \mathrm{n}(\mathrm{n}=\mathrm{No} \text { . of capacitor of equal capacitance }),\mathrm{C}=\mathrm{C}_{1} \mathrm{C}_{2} /\left(\mathrm{C}_{1}+\mathrm{C}_{2}\right),All,,,,,4,,,,,,,
The equivalent capacitance in the circuit is shown as,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q27.PNG,moderate,"So all the three capacitors are in series so by applying formula
\[
\begin{array}{l}
1 / \mathrm{C}_{\mathrm{E}}=1 / \mathrm{C}_{1}+1 / \mathrm{C}_{2}+1 / \mathrm{C}_{3} \\
1 / \mathrm{C}_{\mathrm{E}}=(1 / 2)+(1 / 3)+(1 / 6) \\
1 / \mathrm{C}_{\mathrm{E}}=1 \\
\mathrm{C}_{\mathrm{e}}=1 \mathrm{uF}
\end{array}
\]",,37,1uF,2uF,0.5uF,3uF,,,,,1,,,,,,,
"Referring to the above figure, what is the charge store in the capacitor of capacitance 3uF? ",,difficult,"$Q=C V$
From the previous question we know the $C_{\mathrm{eq}}$
\[
As, \mathrm{C}_{\mathrm{e}}=1 \mathrm{uF}
\]
And in series $\mathrm{Q}_{1=} \mathrm{Q}_{2}=\mathrm{Q}_{3}=\mathrm{Q}_{\mathrm{e}}$
\[
\begin{array}{l}
\mathrm{Q}_{\mathrm{e}}=(10)(1 \mathrm{uF}) \\
\mathrm{Q}_{\mathrm{e}}=10 \mathrm{uC}=\mathrm{Q}_{2}
\end{array}
\]",,37,5uC,6uC,10uC,3uC,,,,,3,,,,,,,
t/RC has SI unit,,easy,t/RC is a constant number and has no units,,37,Farad,Unit less,Second,Ohm,,,,,2,,,,,,,
Capacitor charges or discharges,,moderate,"the expression for exponential decay of charge is as follows
\[
q=q_\circ e^{(-t/ R C)}
\]",,37,Linearly with time,"Exponentially with time",Sinusoidal with time,None,,,,,2,,,,,,,
Which physical quantities may X and Y Represent?,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q31.PNG,moderate,If we increase the value of insulating material that is dielectric the potential across the capacitor turn to decrease.,,37,Electric Intensity vs charge,Kinetic energy vs velocity,Potential vs dielectric placed between the capacitor,Capacitance vs charge,,,,,3,,,,,,,
" In the charging circuit of capacitor if the value of capacitance is increased, then capacitor charges changes",,easy,Charge on capacitor increase slowly and reaches its optimal value.,,37,Slowly ,Rapidly,At same speed,None,,,,,1,,,,,,,
How three capacitors of 2uF capacitance each are connected to have an equivalent capacitance of 3uF?,,difficult,Two of the capacitor are connected in series to make the capacitance of 1uF and one will be connected in parallel. Hence make the total result of 3uF.,,37,All in series,All in parallel,two in series one in parallel   ,two in parallel one in series,,,,,3,,,,,,,
Because of electric polarization of dielectric,,easy,"When the dielectric is placed between the plates of capacitor the potential difference decreases. With the decrease in potential difference surface charge density and electric intensity also decreases.",,37,Surface charge density decreases,Electric Intensity decreases,Potential Difference decrease,All,,,,,4,,,,,,,
Which of the following is the expression of energy stored in the capacitor,,easy,"The main expression of energy stored in capacitor is
\[
\mathbf{E}=(1 / 2) \mathrm{CV}^{2}
\]
From this we can find the other two expressions
\[
\begin{array}{l}
\mathrm{E}=(1 / 2)(\mathrm{Q} / \mathrm{V}) \mathrm{V}^{2} \\
\mathrm{E}=(1 / 2) \mathrm{Q} \mathrm{V} \\
\text { Also, } \mathrm{E}=(1 / 2)\left(\mathrm{Q}^{2} / \mathrm{V}\right)
\end{array}
\]",,37,(1 / 2) \mathrm{CV}^{2},(1 / 2) Q V,(1 / 2)\left(Q^{2} / C\right),All,,,,,4,,,,,,,
 The potential difference between capacitor plates is10V when there is a dielectric of $e_r$=2 . If the dielectric is removed the potential difference is ,,moderate,"As the dielectric coefficient is inversely proportional to the potential difference. Hence
\[
\begin{aligned}
\mathbf{V}=& e_{r} \mathbf{V}_{r} \\
V &=(10)(2) \\
&=20 \mathrm{V}
\end{aligned}
\]",,37,20V,5V,10V,40V,,,,,1,,,,,,,
"If the area of plates of capacitor is doubled and distance between them is also doubled then capacitance",,moderate,"We know that,
\[
\begin{array}{l}
\mathrm{C}=\mathrm{Ae}_{0} / \mathrm{d} \\
\mathrm{C}=2 \mathrm{Ae}_{0} / 2 \mathrm{d} \\
\mathrm{C}=\mathrm{Ae}_{0} / \mathrm{d}
\end{array}
\]",,37,is doubled   ,"is halved", remain same    ," increased 4 times",,,,,3,,,,,,,
An electric charge at rest produces,,easy,A charge particle has electric field around it all the time even when it is static.,,37,Electric field,"Magnetic field",both A and B,None,,,,,1,,,,,,,
 The unit of $e_r$ is,,moderate,"The formula of coefficient of dielectric is the ratio of same quantity. Hence it has no units
\mathbf{e}_{\mathrm{r}}=\mathrm{C}_{\mathrm{med}} / \mathrm{C}_{\mathrm{vac}}",,37,\mathrm{Nm}^{-1} \mathrm{A}^{-1},\mathrm{Nm}^{2} \mathrm{A}^{-1},\mathrm{Nm}^{-1} \mathrm{A}^{-2},no unit,,,,,4,,,,,,,
A capacitor is a perfect insulator for,,easy,Capacitor will act as an open circuit if the direct current flows between them,,37,Direct current,Alternating current,Both A and B," Rapid current",,,,,1,,,,,,,
"Three capacitors of 4uF, 2uF, 2uF are connected in parallel with 10V battery. The equivalent capacitance will be",,moderate,"We know the formula for equivalent capacitance in parallel.
\begin{array}{l}
C_{e q}=C_{1}+C_{2}+C_{3} \\
C_{e q}=4+2+2=8 \mathrm{uF}
\end{array}",,37, 0.8uF  ,8uF,1uF,16uF,,,,,2,,,,,,,
N/C=,,moderate,"We know that
\[
\mathrm{E}=\mathrm{F} / \mathrm{q}
\]
$\mathrm{E}=-\Delta \mathrm{V} / \Delta \mathrm{r}$
\[
-\Delta \mathrm{V} / \Delta \mathrm{r}=\mathrm{F} / \mathrm{q}
\]
$\mathrm{V} / \mathrm{m}=\mathrm{N} / \mathrm{C}$",,37,V/A,Vm,V/m,A/m,,,,,3,,,,,,,
"A charge of 0.10C accelerated through a potential difference of 1000V, acquired kinetic energy ",,moderate,"\begin{array}{l}
\mathrm{V}=\mathrm{W} / \mathrm{q} \\
\mathrm{W}=\mathrm{KE}=\mathrm{V} \times \mathrm{q} \\
=1000 \times 0.10 \\
=100 \mathrm{J}
\end{array}",,37,200J,10J,100J,100eJ,,,,,3,,,,,,,
The number of electron in on coulomb charge is equal to,,easy,1 \mathrm{e}=1.6 \times 10^{-19} \mathrm{C},,37,6.2 \times 10^{18},1.6 \times 10^{18},6.2 \times 10^{-11},6.2 \times 10^{-27},,,,,1,,,,,,,
Value of $e_r$ for different dielectric is always,,moderate,"The capacitance decreases when we place the dielectric between the plates of capacitor.
$e_{r}=C_{\text {med }} / C_{\text {vac }}$",,37,less than unity,"equal to unity",larger than unity,None,,,,,1,,,,,,,
 The work done in moving a charge in the path ESPQ will be,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p12_Electrostatics/p12q46.PNG,moderate,"Work done in a closed path is always zero in an electric field as electric field is a conservative field.",,37,\mathrm{q} / \mathrm{e},q,\mathrm{qE}(\mathrm{PQ}+\mathrm{QR}+\mathrm{SR}+\mathrm{SP}),zero,,,,,4,,,,,,,
In a charged capacitor the energy resides in,,easy,"Electric field is stored between the plates of capacitor in the form of electric field.",,37,Electric field surrounding the capacitor,Electric field inside the capacitor,Both A and B,Gravitational field,,,,,2,,,,,,,
